"","player_id","war7","war8","war9","war10","war11","predwar7","predwar8","predwar9","predwar10","predwar11"
"1502","gonzawi01",0.4,-0.4,-1,-1,-1,-1.41498708010336,0.118303571428572,-0.663035714285714,-1.32416267942584,-1.60493421052632
"1509","goodwda01",-0.9,-0.3,-1,-1,-1,-0.777661596958175,-1.00029041626331,-0.410851926977688,-1.28022471910112,-1.41498708010336
"1516","goodwto01",0.7,3,0,1.9,-0.5,0.499709583736689,0.589148073022312,2.71977528089888,-0.414987080103359,1.61830357142857
"1530","greenda03",0.2,-1,-1,-1,-1,-0.950858778625954,0.122338403041825,-1.10029041626331,-1.11085192697769,-1.28022471910112
"1536","greenkh01",-0.8,-1,-1,-1,-1,-0.610851926977688,-1.08022471910112,-1.41498708010336,-1.28169642857143,-1.26303571428571
"1543","greggto01",-0.2,-1,-0.6,-1,-0.2,-0.110851926977688,-0.480224719101123,-1.41498708010336,-0.881696428571428,-1.26303571428571
"1552","griffke01",2.5,3.8,2.8,0.6,2.5,2.38914807302231,2.21977528089888,3.38501291989664,2.51830357142857,0.336964285714286
"1571","grissma02",1.2,4.4,1.9,0.9,0.1,4.99970958373669,1.08914807302231,4.11977528089888,1.48501291989664,0.618303571428572
"1588","grossgr01",1.4,0.3,0.1,0.7,0.3,0.149141221374046,1.32233840304183,0.199709583736689,-0.0108519269776876,0.419775280898877
"1605","grubbjo01",3.1,1,0.4,-0.3,0,0.489148073022312,2.81977528089888,0.585012919896641,0.118303571428572,-0.563035714285714
"1621","guzmacr01",-1.4,-1,1.2,4.6,1.6,1.32233840304183,-1.50029041626331,-1.11085192697769,0.919775280898877,4.18501291989664
"1632","gwynnto02",-0.2,-1,-1,-1,-1,2.08914807302231,-0.480224719101123,-1.41498708010336,-1.28169642857143,-1.26303571428571
"1640","hairssc01",1,0.4,1.7,-0.8,-0.6,1.71977528089888,0.585012919896641,0.118303571428572,1.43696428571429,-1.12416267942584
"1651","hammoje01",2.2,2.2,0.7,-0.6,0.2,1.19970958373669,2.08914807302231,1.91977528089888,0.285012919896641,-0.881696428571428
"1664","hatchbi01",2,-0.8,-2.8,1.9,-1,0.389148073022312,1.71977528089888,-1.21498708010336,-3.08169642857143,1.63696428571429
"1676","hawpebr01",-0.4,-0.4,-1,-0.3,-1,0.985012919896641,-0.681696428571429,-0.663035714285714,-1.32416267942584,-0.904934210526316
"1685","heepda01",0.5,0.7,-1,0.4,0.3,-0.177661596958175,0.399709583736689,0.589148073022312,-1.28022471910112,-0.0149870801033592
"1698","hemonsc01",-0.4,-1,-1,-1,-1,0.189148073022312,-0.680224719101123,-1.41498708010336,-1.28169642857143,-1.26303571428571
"1705","hendrge01",5.8,2.6,2.8,3.9,2.7,2.42233840304183,5.69970958373669,2.48914807302231,2.51977528089888,3.48501291989664
"1723","hernaca01",0,0.9,0.4,-1,0.1,-0.610851926977688,-0.280224719101123,0.485012919896641,0.118303571428572,-1.26303571428571
"1733","hidalri01",5.7,1.1,0.6,-1,-1,-0.100290416263311,5.58914807302231,0.819775280898877,0.185012919896641,-1.28169642857143
"1742","higgibo02",3.4,1.5,0.3,2.2,-0.4,5.01977528089888,2.98501291989664,1.21830357142857,0.0369642857142856,1.87583732057416
"1753","hollato01",1.4,1.3,0.1,1.2,-1,2.19970958373669,1.28914807302231,1.01977528089888,-0.314987080103359,0.918303571428571
"1765","howarda02",0.1,-0.1,-0.3,-1,-1,0.0197752808988765,-0.314987080103359,-0.381696428571428,-0.563035714285714,-1.32416267942584
"1774","howarth01",-0.5,0.5,-0.4,0.3,-0.8,0.0850129198966408,-0.781696428571429,0.236964285714286,-0.724162679425837,-0.304934210526316
"1785","hrbekke01",4,4.4,3.8,1.9,2.7,2.92233840304183,3.89970958373669,4.28914807302231,3.51977528089888,1.48501291989664
"1799","hubbagl01",2.8,3.3,1.1,3,2,2.84914122137405,2.72233840304182,3.19970958373669,0.989148073022313,2.71977528089888
"1811","hubbami01",0,-1,-1,-1,-1,-0.280224719101123,-0.414987080103359,-1.28169642857143,-1.26303571428571,-1.32416267942584
"1817","hudsoor01",2.1,4.1,2.8,0.7,0.2,4.01977528089888,1.68501291989664,3.81830357142857,2.53696428571429,0.375837320574163
"1828","huffau01",1,0.3,4.1,-1.8,5.7,0.789148073022312,0.719775280898877,-0.114987080103359,3.81830357142857,-2.06303571428571
"1841","huntebr01",-1,-0.2,0.7,-0.1,-1,0.689148073022313,-1.28022471910112,-0.614987080103359,0.418303571428571,-0.363035714285714
"1850","hunteto01",3.8,4.2,3.1,3.3,3.9,3.42233840304183,3.69970958373669,4.08914807302231,2.81977528089888,2.88501291989664
"1869","huskebu01",0.7,-0.3,-1,-1,-1,0.322338403041825,0.599709583736689,-0.410851926977688,-1.28022471910112,-1.41498708010336
"1876","incavpe01",1.6,3,-0.5,-1,0.8,-1.10029041626331,1.48914807302231,2.71977528089888,-0.914987080103359,-1.28169642857143
"1888","izturce01",-0.2,1.7,1.3,0.3,0.1,-0.0776615969581749,-0.300290416263311,1.58914807302231,1.01977528089888,-0.114987080103359
"1901","jacksbo01",-1,0.6,0.6,-1,-1,-0.0108519269776876,-1.28022471910112,0.185012919896641,0.318303571428571,-1.26303571428571
"1909","jacksco01",0.1,-1,-1,-1,-1,0.0891480730223124,-0.180224719101123,-1.41498708010336,-1.28169642857143,-1.26303571428571
"1916","jamesch02",-0.1,1.7,1.2,0.3,-1,-1.91085192697769,-0.380224719101123,1.28501291989664,0.918303571428571,0.0369642857142856
"1926","jeffegr01",5.1,1.9,1.3,1.5,1.1,2.34836146971202,5.14914122137405,1.82233840304183,1.19970958373669,1.38914807302231
"1940","johnsbr01",-1,0,-1,-1,-1,-0.481696428571429,-1.26303571428571,-0.324162679425837,-1.60493421052632,-1.30242718446602
"1948","johnsla03",6.1,1.6,3.7,7.2,1.7,3.68914807302231,5.81977528089888,1.18501291989664,3.41830357142857,6.93696428571429
"1962","johnsro07",-0.2,-1,-1,-1,-1,-0.480224719101123,-0.614987080103359,-1.28169642857143,-1.26303571428571,-1.32416267942584
"1969","johnsru01",-1,-1,-0.2,-1,-1,-0.680224719101123,-1.41498708010336,-1.28169642857143,-0.463035714285714,-1.32416267942584
"1976","jonesbo02",-1,0.6,-1,-0.2,-0.3,-1.28022471910112,-1.41498708010336,0.318303571428571,-1.26303571428571,-0.524162679425837
"1985","jonesja04",0.7,1.2,0.4,-1.9,-1,-0.380224719101123,0.285012919896641,0.918303571428571,0.136964285714286,-2.22416267942584
"1995","jordabr01",7,3.4,2,4.3,3,0.485012919896641,6.71830357142857,3.13696428571429,1.67583732057416,3.69506578947368
"2010","jordake01",-0.3,-1,-1,-1,-1,-1.61498708010336,-0.581696428571429,-1.26303571428571,-1.32416267942584,-1.60493421052632
"2017","josefe01",0.8,-0.4,-1,-1,-1,-0.710851926977688,0.519775280898877,-0.814987080103359,-1.28169642857143,-1.26303571428571
"2028","joycema01",1.2,-1,1.7,1.7,-1,0.989148073022313,0.919775280898877,-1.41498708010336,1.41830357142857,1.43696428571429
"2038","justida01",3.8,2.2,3.8,2.1,3.1,3.58914807302231,3.51977528089888,1.78501291989664,3.51830357142857,1.83696428571429
"2052","kempst01",1,0.7,0.1,0.1,-1,1.89970958373669,0.889148073022312,0.419775280898877,-0.314987080103359,-0.181696428571429
"2063","kennead01",3.9,0.9,-1.4,2.5,1.1,3.18914807302231,3.61977528089888,0.485012919896641,-1.68169642857143,2.23696428571429
"2077","kentje01",4.5,3.5,7.2,5.2,7,3.81977528089888,4.08501291989664,3.21830357142857,6.93696428571429,4.87583732057416
"2094","kinslia01",2.4,5,5.7,6,6.1,6.81977528089888,1.98501291989664,4.71830357142857,5.43696428571429,5.67583732057416
"2106","kittlro01",1.1,1.6,0.1,-0.1,-1,-0.0802247191011234,0.685012919896641,1.31830357142857,-0.163035714285714,-0.424162679425837
"2116","kleskry01",2.9,1.1,3.2,4.6,4.2,0.322338403041825,2.79970958373669,0.989148073022313,2.91977528089888,4.18501291989664
"2132","knighra01",2.4,1.3,3.1,3.1,-1.1,3.02233840304183,2.29970958373669,1.18914807302231,2.81977528089888,2.68501291989664
"2145","kommibr01",1.5,0.7,-0.3,-1,-1,-1.10029041626331,1.38914807302231,0.419775280898877,-0.714987080103359,-1.28169642857143
"2153","kottage01",0.2,-1,-1,-1,-1,0.185012919896641,-0.0816964285714285,-1.26303571428571,-1.32416267942584,-1.60493421052632
"2160","kuntzru01",-0.2,-1,-1,-1,-1,-0.380224719101123,-0.614987080103359,-1.28169642857143,-1.26303571428571,-1.32416267942584
"2167","lacocpe01",0.9,0.4,-1.3,-1,-1,0.949141221374046,0.822338403041825,0.299709583736689,-1.41085192697769,-1.28022471910112
"2176","lacyle01",1.8,0.3,4,1.4,1.1,-0.180224719101123,1.38501291989664,0.0183035714285715,3.73696428571429,1.07583732057416
"2192","landera01",-0.4,-0.7,-1,-1,-1,-0.480224719101123,-0.814987080103359,-0.981696428571428,-1.26303571428571,-1.32416267942584
"2200","landrti01",0.3,-0.1,-0.3,-1,-1,0.585012919896641,0.0183035714285715,-0.363035714285714,-0.624162679425837,-1.60493421052632
"2209","langery01",0.5,0.2,1.2,-0.6,-0.2,-1.60029041626331,0.389148073022312,-0.0802247191011234,0.785012919896641,-0.881696428571428
"2220","lansimi01",0,-1.4,0.1,-1,-1,-0.114987080103359,-0.281696428571429,-1.66303571428571,-0.224162679425837,-1.60493421052632
"2229","larkige01",-0.2,-1,-1,-1,-1,-0.480224719101123,-0.614987080103359,-1.28169642857143,-1.26303571428571,-1.32416267942584
"2236","lavalmi01",1.8,1.5,1.6,0.5,0.4,0.689148073022313,1.51977528089888,1.08501291989664,1.31830357142857,0.236964285714286
"2248","lawru01",0.1,1.1,0.5,-1,-1,3.12233840304183,-0.000290416263310653,0.989148073022313,0.219775280898877,-1.41498708010336
"2255","lawtoma02",2.5,1.3,1.2,1.3,-0.1,2.18914807302231,2.21977528089888,0.885012919896641,0.918303571428571,1.03696428571429
"2267","lawva01",1,0.5,2.2,-0.4,-1,3.68914807302231,0.719775280898877,0.0850129198966408,1.91830357142857,-0.663035714285714
"2278","leachri01",0.6,0.4,1.4,0.8,-1,-0.280224719101123,0.185012919896641,0.118303571428572,1.13696428571429,0.475837320574163
"2288","leiussc01",-0.6,-1,-0.8,-0.8,-1,0.119775280898877,-1.01498708010336,-1.28169642857143,-1.06303571428571,-1.12416267942584
"2297","lemkema01",0.7,1.4,1.2,1.2,0.1,1.99970958373669,0.589148073022312,1.11977528089888,0.785012919896641,0.918303571428571
"2308","lindjo01",-1,-0.3,-0.7,-1,-1,-1.91085192697769,-1.28022471910112,-0.714987080103359,-0.981696428571428,-1.26303571428571
"2317","longoev01",3.3,3.2,3.9,3.6,-1,6.09970958373669,3.18914807302231,2.91977528089888,3.48501291989664,3.31830357142857
"2327","lopesda01",4.9,4.7,1,0.7,1.3,4.33696428571429,4.57583732057416,4.09506578947368,0.697572815533981,-0.0513888888888888
"2343","lowrije01",0.8,1,-0.4,4,-1,1.71977528089888,0.385012919896641,0.718303571428571,-0.663035714285714,3.67583732057416
"2353","lugoju01",1,0.7,0.1,-0.4,-0.8,4.01977528089888,0.585012919896641,0.418303571428571,-0.163035714285714,-0.724162679425837
"2365","luzingr01",2.4,4.2,5.2,-1.3,0.4,3.34836146971202,2.44914122137405,4.12233840304182,5.09970958373669,-1.41085192697769
"2380","maciajo01",-0.4,-1,-1,-1,-1,-0.463035714285714,-0.724162679425837,-1.60493421052632,-1.30242718446602,-1.75138888888889
"2387","mackape01",0.2,1.1,-1.3,-1,-1,-0.177661596958175,0.0997095837366894,0.989148073022313,-1.58022471910112,-1.41498708010336
"2396","mackoro01",0.7,-0.6,-1,-1,-1,-0.0149870801033592,0.418303571428571,-0.863035714285714,-1.32416267942584,-1.60493421052632
"2404","maddoel01",-0.4,0.8,0.9,0,1.7,2.39970958373669,-0.510851926977688,0.519775280898877,0.485012919896641,-0.281696428571429
"2415","maddoga01",5.1,5,1.9,1.5,1.3,3.59970958373669,4.98914807302231,4.71977528089888,1.48501291989664,1.21830357142857
"2430","mageewe01",0.7,-1,-1,-1,-1,0.889148073022312,0.419775280898877,-1.41498708010336,-1.28169642857143,-1.26303571428571
"2437","maiermi01",-0.8,-1,-1,-1,-1,0.519775280898877,-1.21498708010336,-1.28169642857143,-1.26303571428571,-1.32416267942584
"2443","maldoca01",2.9,-0.3,0.8,3.4,1.4,1.64914122137405,2.82233840304183,-0.400290416263311,0.689148073022313,3.11977528089888
"2458","markani01",1.7,0.1,2,1.9,1.7,2.39970958373669,1.58914807302231,-0.180224719101123,1.58501291989664,1.61830357142857
"2470","marshmi02",0.4,2.4,0.6,0.1,-0.1,0.222338403041825,0.299709583736689,2.28914807302231,0.319775280898877,-0.314987080103359
"2481","martije01",-1.2,-0.9,1.7,-0.3,-0.7,-0.0149870801033592,-1.48169642857143,-1.16303571428571,1.37583732057416,-0.904934210526316
"2492","martisa01",-0.1,-1,-1,-0.1,-1,-0.380224719101123,-0.514987080103359,-1.28169642857143,-1.26303571428571,-0.424162679425837
"2500","martite01",-1,0.1,0.1,-0.5,-1,-0.700290416263311,-1.11085192697769,-0.180224719101123,-0.314987080103359,-0.781696428571429
"2509","martivi01",0.6,3.5,3.6,3.2,-1,4.18914807302231,0.319775280898877,3.08501291989664,3.31830357142857,2.93696428571429
"2524","masonji01",-0.3,-0.2,-0.4,-1,-1,0.649141221374046,-0.377661596958175,-0.300290416263311,-0.510851926977688,-1.28022471910112
"2533","matsuhi01",2.7,1.7,0.6,-1.3,-1,0.495065789473684,2.39757281553398,0.948611111111111,0.0022727272727272,-1.86326530612245
"2543","matsuka01",-0.8,-1,-1,-1,-1,0.0758373205741626,-1.40493421052632,-1.30242718446602,-1.75138888888889,-1.59772727272727
"2550","maybejo02",-0.5,-1,-1,-1,-1,-0.514987080103359,-0.781696428571429,-1.26303571428571,-1.32416267942584,-1.60493421052632
"2557","maybica01",-0.8,0.6,0.6,2,1.7,3.04914122137405,-0.877661596958175,0.499709583736689,0.489148073022312,1.71977528089888
"2568","mcbriba01",3.2,3.2,-0.3,0.6,-0.6,2.31977528089888,2.78501291989664,2.91830357142857,-0.563035714285714,0.275837320574163
"2579","mccanbr01",2.5,0.8,2.3,1.8,2.8,3.52233840304183,2.39970958373669,0.689148073022313,2.01977528089888,1.38501291989664
"2592","mcclell01",-0.4,-0.3,-1,-1,-1,0.0758373205741626,-1.00493421052632,-0.602427184466019,-1.75138888888889,-1.59772727272727
"2600","mcdonda02",1.1,0.3,0.2,0.2,-1,-0.714987080103359,0.818303571428572,0.0369642857142856,-0.124162679425837,-0.404934210526316
"2607","mcgehca01",1.1,-1.2,-0.3,-1,-1,-1.41498708010336,0.818303571428572,-1.46303571428571,-0.624162679425837,-1.60493421052632
"2615","mcgwima01",6.4,1.5,1.5,5.5,6.4,1.39970958373669,6.28914807302231,1.21977528089888,1.08501291989664,5.21830357142857
"2631","mclouna01",0,0.5,1.8,-0.7,-1,-2.81085192697769,-0.280224719101123,0.0850129198966408,1.51830357142857,-0.963035714285714
"2641","mcmilbi01",-1,0.7,-0.4,-1,-1,-0.580224719101123,-1.41498708010336,0.418303571428571,-0.663035714285714,-1.32416267942584
"2647","mendoma01",-0.6,1,-0.7,-1,-1,-1.71085192697769,-0.880224719101123,0.585012919896641,-0.981696428571428,-1.26303571428571
"2656","merulma01",-0.2,-1,-1,-1,-1,-0.410851926977688,-0.480224719101123,-1.41498708010336,-1.28169642857143,-1.26303571428571
"2662","mientdo01",-0.5,1.1,2.2,1.4,1.2,4.01977528089888,-0.914987080103359,0.818303571428572,1.93696428571429,1.07583732057416
"2674","mieskma01",0.7,-0.7,-1,-1,-1,-0.414987080103359,0.418303571428571,-0.963035714285714,-1.32416267942584,-1.60493421052632
"2682","millake01",2.8,1.1,0.4,1.3,0.5,0.818303571428572,2.53696428571429,0.775837320574163,-0.204934210526316,0.997572815533981
"2694","milleda02",0.3,1.4,0.7,0.9,-0.1,0.836964285714286,-0.0241626794258374,0.795065789473684,0.39757281553398,0.148611111111111
"2705","mitchke01",4,2.7,0.3,2.6,3.7,6.79970958373669,3.88914807302231,2.41977528089888,-0.114987080103359,2.31830357142857
"2718","moellch01",-0.5,-0.7,0,0.2,-0.1,-1.91498708010336,-0.781696428571429,-0.963035714285714,-0.324162679425837,-0.404934210526316
"2729","molinbo01",0.5,-0.3,-0.1,-1,-1,0.585012919896641,0.218303571428571,-0.563035714285714,-0.424162679425837,-1.60493421052632
"2737","molinya01",3.1,2.8,6.9,5.6,2.4,3.02233840304183,2.99970958373669,2.68914807302231,6.61977528089888,5.18501291989664
"2751","montgbo01",0,0.2,0.1,0.2,-1,-0.181696428571429,-0.263035714285714,-0.124162679425837,-0.504934210526316,-0.102427184466019
"2761","moranmi01",-0.2,2,3.8,-1.1,-1.2,2.21977528089888,-0.614987080103359,1.71830357142857,3.53696428571429,-1.42416267942584
"2772","morneju01",3.5,4.7,-1.1,1.2,1.9,4.09970958373669,3.38914807302231,4.41977528089888,-1.51498708010336,0.918303571428571
"2786","morrijo07",-0.3,-1,-1,-1,-1,-0.714987080103359,-0.581696428571429,-1.26303571428571,-1.32416267942584,-1.60493421052632
"2793","mosesjo01",1.3,-0.2,-1,-0.3,-0.1,-0.680224719101123,0.885012919896641,-0.481696428571429,-1.26303571428571,-0.624162679425837
"2804","motleda01",-0.3,-1,-1,-1,-1,-1.67766159695817,-0.400290416263311,-1.11085192697769,-1.28022471910112,-1.41498708010336
"2810","mullira01",2.8,2.4,3.2,1.9,2.5,0.122338403041825,2.69970958373669,2.28914807302231,2.91977528089888,1.48501291989664
"2826","murraed02",6.6,7.1,5.6,4.1,3.8,5.12233840304182,6.49970958373669,6.98914807302231,5.31977528089888,3.68501291989664
"2847","napolmi01",1.8,4,3.3,1.1,1,5.11977528089888,1.38501291989664,3.71830357142857,3.03696428571429,0.775837320574163
"2859","narroje01",0.1,0.1,-0.2,-1,-1,-0.0108519269776876,-0.180224719101123,-0.314987080103359,-0.481696428571429,-1.26303571428571
"2867","newmaal01",-0.7,1.1,-1,-1,-1,1.08501291989664,-0.981696428571428,0.836964285714286,-1.32416267942584,-1.60493421052632
"2875","newmaje01",-1.1,-0.3,-0.3,-1,-1,-0.263035714285714,-1.42416267942584,-0.904934210526316,-0.602427184466019,-1.75138888888889
"2884","nichore01",0.1,0.9,-1,-1,-1,-0.277661596958175,-0.000290416263310653,0.789148073022312,-1.28022471910112,-1.41498708010336
"2892","nicosst01",0.4,-0.3,-1,-1,-1,-0.800290416263311,0.289148073022312,-0.580224719101123,-1.41498708010336,-1.28169642857143
